Index,X,Y,Z,Stem X,Stem Y,Stem Z,Radius,Parent
,,,,,,,,
panda_link2.002,,,,,,,,
CLIP,64.50780481100082,11.205252259969711,32.82992169260979,,,,0.1,/panda/panda_link2/geometry/panda_link2
1,39.517272263765335,-26.415599510073662,79.5373022556305,35.44329106807709,-25.899892672896385,72.8897973895073,0.023324238136410713,/panda/panda_link2/geometry/panda_link2
2,9.03766043484211,75.48534870147705,109.14237797260284,8.181142620742321,73.27643781900406,102.25676745176315,0.02173670008778572,/panda/panda_link2/geometry/panda_link2
3,-38.09903562068939,10.100794956088066,89.77514505386353,-34.07515212893486,12.872100807726383,84.11071449518204,0.02232978120446205,/panda/panda_link2/geometry/panda_link2
4,8.096936158835888,127.83603370189667,47.98860475420952,7.272929418832064,120.6015944480896,48.080507665872574,0.02173670008778572,/panda/panda_link2/geometry/panda_link2
5,-60.52881479263306,86.98470145463943,69.1465437412262,-54.26893010735512,83.90351384878159,66.89220666885376,0.021887321025133133,/panda/panda_link2/geometry/panda_link2
CLIP,64.69257175922394,27.007725089788437,30.369479209184647,,,,0.1,/panda/panda_link2/geometry/panda_link2
,,,,,,,,
panda_link3.004,,,,,,,,
CLIP,-11.774413287639618,41.49173200130463,26.50046907365322,,,,0.1,/panda/panda_link3/geometry/panda_link3
6,-11.805766262114048,76.70718431472778,14.311384409666061,-3.98600148037076,72.49037176370621,14.785454608500004,0.020676061511039734,/panda/panda_link3/geometry/panda_link3
7,-55.77652156352997,51.20757222175598,-45.61363160610199,-51.95724964141846,42.647071182727814,-46.9420924782753,0.02200212888419628,/panda/panda_link3/geometry/panda_link3
8,51.290031522512436,110.82611232995987,52.767280489206314,51.560815423727036,102.82901674509048,49.36050623655319,0.02021082676947117,/panda/panda_link3/geometry/panda_link3
9,48.58504235744476,103.14911603927612,-18.953848630189896,49.20666292309761,96.21177613735199,-13.746174983680248,0.02021082676947117,/panda/panda_link3/geometry/panda_link3
10,115.37706851959229,63.88913094997406,10.650946758687496,105.76818138360977,62.01396510004997,12.653606943786144,0.023223064839839935,/panda/panda_link3/geometry/panda_link3
CLIP,-55.76635152101517,27.722150087356567,-0.7793344557285309,,,,0.1,/panda/panda_link3/geometry/panda_link3
,,,,,,,,
panda_link4.004,,,,,,,,
CLIP,-79.23829555511475,-31.846225261688232,-80.10010421276093,,,,0.1,/panda/panda_link4/geometry/panda_link4
11,-97.72927314043045,-34.79551896452904,-42.63141006231308,-88.73414993286133,-29.03500199317932,-41.17162153124809,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
12,-94.05195713043213,41.23280942440033,-37.628721445798874,-85.67064255475998,34.622207283973694,-36.11866757273674,0.02288443222641945,/panda/panda_link4/geometry/panda_link4
13,6.188405677676201,-116.69033020734787,-120.33621966838837,9.897028096020222,-109.22221839427948,-119.04028058052063,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
14,32.180339097976685,-111.84970289468765,-66.80219620466232,33.19496288895607,-105.36008328199387,-72.09949195384979,0.01791204698383808,/panda/panda_link4/geometry/panda_link4
15,69.78786736726761,-119.65732276439667,-116.71803891658783,66.5956512093544,-111.3898977637291,-115.88472127914429,0.018894942477345467,/panda/panda_link4/geometry/panda_link4
CLIP,-61.229679733514786,-44.22047361731529,-81.46082609891891,,,,0.1,/panda/panda_link4/geometry/panda_link4
,,,,,,,,
panda_link5.002,,,,,,,,
CLIP,15.209604986011982,145.20826935768127,40.12217000126839,,,,0.1,/panda/panda_link5/geometry/panda_link5
16,-15.5657222494483,103.10369729995728,67.55194813013077,-12.670043855905533,99.90554302930832,52.102506160736084,0.030512696132063866,/panda/panda_link5/geometry/panda_link5
17,-6.5791006200015545,-23.7069483846426,68.94049048423767,-5.566919222474098,-23.435596376657486,54.08363416790962,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
18,-2.16077221557498,-140.55800437927246,52.771542221307755,-1.7497799126431346,-129.45769727230072,42.849935591220856,0.02833130955696106,/panda/panda_link5/geometry/panda_link5
CLIP,24.914944544434547,144.8652148246765,37.19165176153183,,,,0.1,/panda/panda_link5/geometry/panda_link5
