Index,X,Y,Z,NormX,NormY,NormZ,Radius,Parent
0,-0.05179592967033386,-0.11825257539749146,0.042523544281721115,-0.9880015850067139,-0.15346980094909668,0.017314642667770386,0.02006280981004238,/Franka/panda_link2/visuals
1,-0.018429510295391083,0.04247996211051941,0.12116958200931549,-0.4636804163455963,0.8441183567047119,0.26919254660606384,0.0207749642431736,/Franka/panda_link2/visuals
2,-4.601017280947417e-05,-0.1446177214384079,0.06613811105489731,4.045237074024044e-05,-0.07489921152591705,0.9971911311149597,0.019930772483348846,/Franka/panda_link2/visuals
3,0.05107200890779495,-0.01361071690917015,0.1133415699005127,0.8220664262771606,-0.21553963422775269,0.5270193219184875,0.021529972553253174,/Franka/panda_link2/visuals
4,0.046559061855077744,-0.0662645474076271,0.07170070707798004,0.7231321334838867,-0.3858189880847931,0.5729080438613892,0.02088896930217743,/Franka/panda_link2/visuals
5,-0.05455567315220833,-0.05575812608003616,0.06661324203014374,-0.9952890872955322,-0.02124428004026413,0.09459564834833145,0.019741790369153023,/Franka/panda_link2/visuals
6,-0.0557185634970665,-0.008543837815523148,0.10630576312541962,-0.9403694272041321,-0.11188935488462448,0.3212259113788605,0.019741790369153023,/Franka/panda_link2/visuals
7,0.05254584923386574,-0.12328140437602997,0.04048441722989082,0.801827609539032,-0.08823420107364655,0.5910053849220276,0.019930772483348846,/Franka/panda_link2/visuals
8,-0.006911785341799259,-0.050787895917892456,0.11638675630092621,-0.10420382022857666,-0.7370961904525757,0.6677055954933167,0.02090628445148468,/Franka/panda_link2/visuals
9,0.018352624028921127,0.12933756411075592,0.03397013247013092,0.2834834158420563,0.8105049133300781,0.5125610828399658,0.023530704900622368,/Franka/panda_link5/visuals
10,0.0038720713928341866,0.113578200340271,-0.11349067091941833,0.07407792657613754,0.9822957515716553,-0.1720684915781021,0.025169814005494118,/Franka/panda_link5/visuals
11,0.010106644593179226,0.10074809938669205,-0.17778506875038147,0.03594435378909111,0.9798660278320312,-0.19639404118061066,0.029339998960494995,/Franka/panda_link5/visuals
12,0.006978054530918598,0.12940660119056702,-0.04025235399603844,0.08864175528287888,0.9414495229721069,-0.3252928555011749,0.023574544116854668,/Franka/panda_link5/visuals
13,-0.005854692310094833,0.1214095801115036,-0.06837178021669388,-0.07045868784189224,0.9783121347427368,-0.19478434324264526,0.02426452562212944,/Franka/panda_link5/visuals
14,-0.03111525997519493,0.11191853135824203,-0.08820448815822601,-0.5696526169776917,0.810839831829071,-0.134292870759964,0.02545163407921791,/Franka/panda_link5/visuals
15,0.020751524716615677,0.10688710957765579,-0.14118772745132446,0.13179083168506622,0.9733587503433228,-0.18762730062007904,0.025169814005494118,/Franka/panda_link5/visuals
16,0.025456732138991356,0.1147850900888443,-0.0878644734621048,0.3420204818248749,0.9226986169815063,-0.1779024749994278,0.0254804790019989,/Franka/panda_link5/visuals
17,0.026453683152794838,0.13409021496772766,-0.009810781106352806,0.35783877968788147,0.916563093662262,-0.17850306630134583,0.02769494242966175,/Franka/panda_link5/visuals
18,-0.01167701929807663,0.13645270466804504,-0.016492566093802452,-0.14255157113075256,0.9587591886520386,-0.24588580429553986,0.023574544116854668,/Franka/panda_link5/visuals
19,-0.006065039895474911,0.1383775770664215,0.0172169990837574,-0.06652132421731949,0.9842668771743774,0.16368748247623444,0.023530704900622368,/Franka/panda_link5/visuals
20,-0.03779372572898865,0.12279115617275238,0.02636174112558365,-0.6169979572296143,0.6783527731895447,0.398937463760376,0.027750641107559204,/Franka/panda_link5/visuals
